,year,quarter,location,economic activity,micro enterprises,small enterprises,medium enterprises,large enterprises,total number of enterprises
0,2022,1,Eastern Region Office,أبحاث الإعلان والسوق,124,30,1,0,155
1,2022,1,Eastern Region Office,إصلاح أجهزة الحاسوب والسلع الشخصية والمنزلية,302,74,9,1,386
2,2022,1,Eastern Region Office,إصلاح وتركيب الآلات والمعدات,201,72,6,1,280
3,2022,1,Eastern Region Office,أنشطة أنتاج الأفلام والبرامج التلفزيونية والتسجيلات الصوتية و نشرالموسيقى,30,4,0,0,34
4,2022,1,Eastern Region Office,أنشطة الأمن والتحقيقات,22,17,11,4,54
5,2022,1,Eastern Region Office,أنشطة الاستخدام,83,23,2,6,114
6,2022,1,Eastern Region Office,أنشطة الاسر المعيشية التي تستخدم أفراداً للعمل المنزلي,2,0,0,0,2
7,2022,1,Eastern Region Office,أنشطة البرمجة الحاسوبية والخبرة الاستشارية وما يتصل بها من أنشطة,147,51,9,2,209
8,2022,1,Eastern Region Office,أنشطة البرمجة والإذاعة,1,1,0,0,2
9,2022,1,Eastern Region Office,أنشطة البريد ونقل الرسائل والطرود بواسطة مندوبين,16,3,0,0,19
10,2022,1,Eastern Region Office,أنشطة التشييد المتخصصة,2474,981,124,15,3594
11,2022,1,Eastern Region Office,أنشطة الخدمات الشخصية الأخرى,2149,421,28,3,2601
12,2022,1,Eastern Region Office,أنشطة الخدمات المالية ، فيما عدا تمويل التأمين وصناديق المعاشات,39,15,5,1,60
13,2022,1,Eastern Region Office,أنشطة العمل الاجتماعي، دون إقامة، لكبار السن وذوي الإعاقة,66,75,3,0,144
14,2022,1,Eastern Region Office,أنشطة المعالجة وخدمات إدارة النفايات الأخرى,3,1,1,0,5
15,2022,1,Eastern Region Office,أنشطة المعمارية والهندسية ، والاختبارات الفنية والتحليل,191,165,42,16,414
16,2022,1,Eastern Region Office,أنشطة المكاتب الرئيسية ، وألأنشطة الاستشارية في مجال الإدارة,152,57,9,1,219
17,2022,1,Eastern Region Office,أنشطة المكتبات ودور المحفوظات، والمتاحف والأنشطة الثقافية الأخرى,52,25,0,0,77
18,2022,1,Eastern Region Office,أنشطة المنظمات الدولية,0,1,0,0,1
19,2022,1,Eastern Region Office,أنشطة المنظمات ذات العضوية,19,4,1,0,24
20,2022,1,Eastern Region Office,أنشطة النشر,30,11,0,0,41
21,2022,1,Eastern Region Office,أنشطة تقديم الخدمات للمباني وتجميل المواقع,1415,780,127,39,2361
22,2022,1,Eastern Region Office,أنشطة جمع النفايات ومعالجتها وتصريفها ، واسترجاع المواد,11,12,1,1,25
23,2022,1,Eastern Region Office,أنشطة خدمات الأطعمة والمشروبات,3298,1559,182,23,5062
24,2022,1,Eastern Region Office,أنشطة خدمات المعلومات,50,19,1,0,70
25,2022,1,Eastern Region Office,أنشطة خدمات دعم التعدين,129,124,64,43,360
26,2022,1,Eastern Region Office,أنشطة زراعة المحاصيل والإنتاج الحيواني والصيد والخدمات المتصلة,373,64,8,0,445
27,2022,1,Eastern Region Office,استخراج النفط الخام والغاز الطبيعي,1,1,1,0,3
28,2022,1,Eastern Region Office,الإدارة العامة والدفاع ؛ والضمان الاجتماعي الإلزامي,188,125,31,4,348
29,2022,1,Eastern Region Office,الإقامة,157,148,24,1,330
30,2022,1,Eastern Region Office,الأنشطة الإبداعية والفنون وأنشطة الترفيه,17,1,0,0,18
